,0
MS00679|ONECUT2,0.0742357591432044
M01123|NANOG,0.07571294058036375
MS00682|RARG,0.07574038628668926
MS00795|Sox11,0.07830127207030271
MS00168|PRDM1,0.07962739791082792
MC00281|PBX3,0.08149874539689153
UP00187|ALX4,0.0837525895981178
MS00343|FOXB1,0.08449252934922538
UP00231|NKX2-2,0.08496097006762629
MS00506|HOXD11,0.08514853496090029
MS00698|Rara,0.08742513270640562
MC00215|RUNX2,0.09008770918736535
MC00195|Myf5,0.09013528267467572
MS00527|IRX5,0.09101684972803917
MS00609|RHOXF1,0.09182225552730774
MS00730|ZNF435,0.09204088145605802
MS00496|HOXC10,0.0923218475675497
UP00391|HOXA3,0.09281979600539844
MS00093|Pknox2,0.09289440959239198
MC00368|Hsf1,0.09361733894176326
MS00616|UNCX,0.09760972834946606
MS00766|SOX4,0.09910029296854161
MS00095|TGIF2LX,0.09995324892358165
MS00266|MLX,0.10020831259104224
MA0319|HSF1,0.10112523278191221
UP00114|Homez,0.1034396016114281
MS00667|ONECUT1,0.10817452552662792
MS00075|MEF2B,0.10957309548779075
MC00304|FOXH1,0.10972453416797566
MS00486|HOXA1,0.10982683551775796
MS00555|MIXL1,0.1126543492575112
MS00192|TBX15,0.11343682250166646
UP00261|LHX4,0.11705536065388136
MS00289|TFEB,0.1175783649999692
UP00197|HOXC9,0.11816171451662506
M00808|PAX1,0.11961502193870245
MC00513|SFPI1,0.12027064629412267
UP00259|HOXB6,0.12156231065112078
MC00402|Hoxc9,0.1236891056341613
UP00207|HOXB9,0.1241785652298293
MS00469|Gbx2,0.12552991573795388
MS00505|HOXC13,0.12553042726266536
M00993|TAL1,0.12802061691779704
UP00147|Nkx2-6,0.12914304808372964
MS00039|SPIB,0.1302646328895646
MA0442|SOX10,0.1305386834726882
MS00087|Meis2,0.13219168836157252
MC00232|MEF2A,0.13406163110556849
M01295|ATF5,0.13411206792781902
MS00586|Otx1,0.1357206493827348
M00640|HOXA4,0.13611417588038213
