,0
UP00164|HOXA7,0.4413464396400488
UP00388|SIX6,0.4417041562623515
M01127|ISL1,0.4445216605558735
MS00614|SHOX,0.44676047809930264
MS00194|TBX19,0.4467796216992147
UP00004|Sox14,0.4469321435024677
MS00460|GBX2,0.4482603837425073
MC00524|Nr1d1,0.45074923068496753
M01207|ETS2,0.4532700160326022
MS00319|JDP2,0.45835108260715773
MS00478|HNF1B,0.4590034398874897
MS00613|SHOX2,0.460524456620488
MA0442|SOX10,0.4642760000795991
MS00160|PROX1,0.46562803426160426
MS00138|POU3F1,0.4665879527459389
MS00566|NKX2-3,0.4738805818804267
MS00089|Meis3,0.47568793999674674
MS00086|Meis2,0.4781591007572352
M01262|TBX18,0.47998461008175564
MS00088|Meis3,0.48133264321959135
MS00519|Hoxd13,0.48181808325651576
UP00185|PBX1,0.4824727377795677
MC00211|NFATC1,0.48350324204524253
UP00019|ZBTB12,0.48516199151552974
MS00531|ISX,0.48802261066758035
MS00526|IRX2,0.49387148169236084
MS00652|NR2E1,0.4940883141956216
MS00628|Vsx1,0.49440952200073196
M00105|CUX1,0.4974992161918803
MS00220|TEAD1,0.5051740810936041
MS00153|POU5F1P1,0.5102321719662724
MC00354|Neurod1,0.5106908695661776
MC00120|GATA1,0.5110073137694426
MS00218|T,0.5143630437888616
MS00836|HOXD12,0.5194681650231812
MS00473|HMX1,0.5227704832911897
MS00662|NR3C2,0.5237409392980286
MA0084|SRY,0.5278401080019215
MC00367|GABPA,0.5281966648064271
MS00541|LHX9,0.5321774949421376
MS00496|HOXC10,0.5324312975442826
MC00504|Scx,0.5374560477209408
MS00269|MYF6,0.5405806074958996
UP00161|Hmbox1,0.5413942428647318
M01148|DMRT3,0.5466934223271447
UP00175|Lhx9,0.552045766843531
MC00258|Pax7,0.5528863576102947
MS00762|SOX2,0.5557007526283779
MC00327|Gata1,0.5566944551164077
MS00577|NKX6-2,0.5594550456623137
UP00069|Sox1,0.561804425961214
MS00213|TBX2,0.5627580670133012
MC00514|Cbfa2t2,0.5646929346359522
MS00485|HOXA13,0.5659783664349631
MC00337|Ikzf3,0.5671004341767871
MS00488|HOXB13,0.568088927049608
MS00096|TGIF2,0.5684929818200544
MS00192|TBX15,0.5686341104064141
MC00178|Nkx2-5,0.5688579652787639
MC00311|FOXA1,0.5713136124669839
MS00469|Gbx2,0.5738480825375494
M01004|IKZF2,0.5765260302167663
M00041|ATF2::JUN,0.5768951400612521
MS00575|NKX6-1,0.5776951402151798
MS00459|GBX1,0.5809002118181561
MS00536|LHX2,0.58654766727289
UP00412|Etv5,0.5889676805138093
MS00708|Rxrb,0.5898916741873573
UP00081|Mybl1,0.5926860380723364
MS00367|FOXJ3,0.5953911073735116
MS00461|GBX2,0.5985793717645693
MS00665|NR4A2,0.6006752095301109
MS00442|EMX1,0.6032998846761346
UP00120|Lbx2,0.6050205507070852
MS00549|Lhx8,0.6072208264818393
M00999|AIRE,0.6111976846577839
MS00338|NRL,0.6146761138650247
MS00484|HOXA13,0.6179525366128245
UP00139|Nkx1-2,0.6187709187910493
MS00550|Lhx8,0.6213392337917404
UP00215|Vax1,0.6246815004346358
MS00624|VENTX,0.629387118044296
MS00603|PRRX2,0.6299474535228141
MS00606|RAX,0.6302905907814838
MS00290|ZBED1,0.631583690514206
MS00521|Hoxd3,0.6338922232746182
MC00280|NR4A1,0.6370436937526491
MS00450|EN2,0.6372202809042048
MS00039|SPIB,0.6374322967733765
MS00581|Nkx6-1,0.6382017175080195
MS00142|POU3F3,0.6385914901845062
UP00129|Pou3f1,0.6385980466841761
M01435|Rhox6,0.6398362762079669
MC00312|RUNX1,0.6398677201476035
M01650|NR2E3,0.6411050532759932
MS00557|MNX1,0.6420051642733693
MS00615|Shox2,0.6426197229403348
MS00680|RARG,0.6447578962723708
UP00196|HOXA4,0.6464391792561457
M01694|Yy2,0.6474093817227754
UP00244|TLX2,0.6482374423695535
MS00073|IRF9,0.6514585677824908
UP00012|Bbx,0.6519807936899864
MS00467|Gbx1,0.652295364453441
MS00455|EVX2,0.6535310707401737
MS00224|TEAD4,0.655576958828848
UP00121|Hoxd10,0.656485529642836
MS00489|HOXB13,0.657712298660344
UP00147|Nkx2-6,0.6587768001003007
MS00121|PAX4,0.6623594495543781
MC00289|HSF1,0.662630394304961
MS00417|BARX1,0.6648185344709872
UP00105|POU3F4,0.6714951737029513
MC00476|Rarg,0.6724194826774451
MS00520|Hoxd13,0.6728197006520396
